Machine,Circuit,Diagnosis,Rank,Qty,Time - First,Time - Last,Time - Duration,Impact,FDD Analysis Type Id,Notes
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 0:11,6/1/14 0:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 0:41,6/1/14 0:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 1:11,6/1/14 1:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 1:41,6/1/14 1:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 2:11,6/1/14 2:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 2:41,6/1/14 2:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 3:11,6/1/14 3:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 3:41,6/1/14 3:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 4:11,6/1/14 4:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 4:41,6/1/14 4:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 5:11,6/1/14 5:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 5:41,6/1/14 5:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 6:11,6/1/14 6:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 6:41,6/1/14 6:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 7:11,6/1/14 7:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 7:41,6/1/14 7:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 8:11,6/1/14 8:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 8:41,6/1/14 8:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 9:11,6/1/14 9:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 9:41,6/1/14 9:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 10:11,6/1/14 10:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 10:41,6/1/14 10:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 11:11,6/1/14 11:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 11:41,6/1/14 11:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 12:11,6/1/14 12:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 12:41,6/1/14 12:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 13:11,6/1/14 13:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 13:41,6/1/14 13:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 14:11,6/1/14 14:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 14:41,6/1/14 14:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 15:11,6/1/14 15:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 15:41,6/1/14 15:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 16:11,6/1/14 16:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 16:41,6/1/14 16:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 17:11,6/1/14 17:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 17:41,6/1/14 17:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 18:11,6/1/14 18:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 18:41,6/1/14 18:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 19:11,6/1/14 19:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 19:41,6/1/14 19:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 20:11,6/1/14 20:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 20:41,6/1/14 20:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 21:11,6/1/14 21:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 21:41,6/1/14 21:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 22:11,6/1/14 22:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 22:41,6/1/14 22:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 23:11,6/1/14 23:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/1/14 23:41,6/1/14 23:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-10,0,No Communication,9,1,6/2/14 0:11,6/2/14 0:11,"0 d, 0 h, 0 m, 0 s",0,406,
